PROPERTYCITY,CNT
PITTSBURGH,160922
CORAOPOLIS,10359
MC KEESPORT,9104
GIBSONIA,6698
SEWICKLEY,6282
MC KEES ROCKS,6131
WEXFORD,6056
BETHEL PARK,5849
MONROEVILLE,5428
CARNEGIE,5209
CLAIRTON,4886
ALLISON PARK,4635
WEST MIFFLIN,4534
BRIDGEVILLE,4501
HOMESTEAD,4400
VERONA,4028
OAKDALE,3080
GLENSHAW,2941
ELIZABETH,2880
NATRONA HEIGHTS,2865
MC DONALD,2853
NORTH VERSAILLES,2538
TARENTUM,2472
SOUTH PARK,2355
BRADDOCK,2027
IMPERIAL,1997
CHESWICK,1937
TURTLE CREEK,1779
OAKMONT,1763
MARS,1452
DUQUESNE,1202
GLASSPORT,1193
NEW KENSINGTON,1043
EAST PITTSBURGH,876
SPRINGDALE,875
BRACKENRIDGE,714
PITCAIRN,707
CRESCENT,703
CLINTON,701
EAST MC KEESPORT,586
WILMERDING,492
PRESTO,489
MONONGAHELA,466
DRAVOSBURG,424
LEETSDALE,367
FINLEYVILLE,362
BRADFORD WOODS,298
WARRENDALE,294
CREIGHTON,293
BUENA VISTA,284
HARWICK,236
RUSSELLTON,230
AMBRIDGE,220
BADEN,191
WALL,175
INDIANOLA,148
CUDDY,143
WEST ELIZABETH,135
MORGAN,130
STURGEON,98
GREENOCK,85
BAIRDFORD,79
ELIZABETH      ,77
BAKERSTOWN,74
BUNOLA,66
VALENCIA,57
COULTERS,55
RURAL RIDGE,51
IRWIN,34
MCKEESPORT,31
SUTERSVILLE,21
CECIL,20
VERONA ,19
MURRYSVILLE,18
BELLE VERNON,13
MUNHALL,13
FREEPORT,11
MCDONALD,11
WEST NEWTON,11
TRAFFORD,9
JEFFERSON HILLS,8
RANKIN,7
BRADFORDWOODS,6
MCDONALD       ,5
MCKEES ROCKS,4
NORTH BRADDOCK,4
NORTH FAYETTE,4
PITTSBURGH     ,4
WEST HOMESTEAD,4
PENN HILLS,3
ASPINWALL,2
GLENSHAW       ,2
,1
CUDDY          ,1
MOON TWP,1
N VERSAILLES   ,1
WEST VIEW,1
WHITE OAK,1
WITAKER,1
